Cordenada X,Cordenada Y,fuerza X 1,fuerza Y 1,fuerza neta 1,fuerza X 2,fuerza Y 2,fuerza neta 2,fuerza total X,fuerza total Y,fuerza neta total
14.0,11.5,21.117,7.224,22.319,-59.194,-42.752,-73.02,-38.077,-35.528000000000006,52.078
14.0,14.0,18.401,8.716,20.362,-39.283,-39.283,-55.555,-20.882,-30.567,37.019
14.0,16.5,15.61,9.448,18.247,-26.011,-33.236,-42.204,-10.401,-23.787999999999997,25.962
14.0,19.0,13.008,9.585,16.158,-17.571,-27.332,-32.492,-4.563000000000002,-17.747,18.324
16.5,-11.0,10.053,-7.481,12.531,-13.529,18.823,-23.181,-3.475999999999999,11.342,11.863
16.5,-8.5,11.826,-7.426,13.964,-18.558,21.785,-28.617,-6.731999999999999,14.359,15.859
16.5,-6.0,13.736,-7.028,15.43,-25.68,24.564,-35.537,-11.943999999999999,17.536,21.217
16.5,-3.5,15.659,-6.191,16.839,-35.394,26.161,-44.012,-19.735,19.970000000000002,28.076
16.5,-1.0,17.397,-4.855,18.062,-47.426,24.744,-53.493,-30.029000000000003,19.889,36.018
16.5,1.5,18.721,-3.048,18.967,-59.582,18.134,-62.282,-40.861000000000004,15.086,43.557
16.5,4.0,19.408,-0.903,19.428,-67.295,5.852,-67.547,-47.887,4.949,48.142
16.5,6.5,19.329,1.349,19.376,-66.36,-8.656,-66.919,-47.031,-7.307,47.595
16.5,9.0,18.501,3.442,18.818,-57.336,-19.943,-60.706,-38.834999999999994,-16.501,42.195
16.5,11.5,17.076,5.163,17.84,-44.899,-25.377,-51.575,-27.823,-20.214,34.391
16.5,14.0,15.281,6.397,16.567,-33.236,-26.011,-42.204,-17.955,-19.613999999999997,26.591
16.5,16.5,13.35,7.141,15.139,-24.062,-24.062,-34.028,-10.712000000000002,-16.921,20.027
16.5,19.0,11.458,7.461,13.673,-17.402,-21.186,-27.417,-5.944000000000001,-13.725,14.957
19.0,-11.0,9.001,-6.001,10.818,-13.112,14.986,-19.912,-4.111000000000001,8.985,9.881
19.0,-8.5,10.345,-5.819,11.87,-17.127,16.515,-23.793,-6.781999999999998,10.696000000000002,12.665
19.0,-6.0,11.738,-5.38,12.912,-22.326,17.542,-28.393,-10.588000000000001,12.162000000000003,16.125
19.0,-3.5,13.087,-4.635,13.883,-28.681,17.413,-33.552,-15.594000000000001,12.778,20.161
19.0,-1.0,14.266,-3.567,14.705,-35.653,15.28,-38.791,-21.387,11.713,24.384
19.0,1.5,15.139,-2.208,15.299,-41.926,10.481,-43.217,-26.787000000000003,8.273,28.035
19.0,4.0,15.584,-0.649,15.598,-45.566,3.255,-45.683,-29.982000000000003,2.606,30.095
19.0,6.5,15.534,0.971,15.564,-45.14,-4.836,-45.398,-29.606,-3.865,29.857
19.0,9.0,14.996,2.499,15.203,-40.821,-11.663,-42.454,-25.824999999999996,-9.164,27.403
19.0,11.5,14.05,3.805,14.557,-34.265,-15.909,-37.777,-20.215,-12.104000000000001,23.562
19.0,14.0,12.826,4.81,13.699,-27.332,-17.571,-32.492,-14.506,-12.761000000000003,19.32
19.0,16.5,11.46,5.491,12.707,-21.186,-17.402,-27.417,-9.725999999999999,-11.911000000000001,15.377
19.0,19.0,10.07,5.874,11.658,-16.235,-16.235,-22.959,-6.164999999999999,-10.361,12.056
