Cordenada X,Cordenada Y,fuerza X 1,fuerza Y 1,fuerza neta 1,fuerza X 2,fuerza Y 2,fuerza neta 2,fuerza X 3,fuerza Y 3,fuerza neta 3,fuerza total X,fuerza total Y,fuerza neta total
4.0,-3.5,42.7,-40.328,58.732,-14.354,-122.009,122.856,106.642,17.774,108.112,134.988,-144.563,197.788
4.0,-1.0,63.998,-42.665,76.918,-39.984,-239.906,243.224,84.783,37.681,92.781,108.797,-244.89000000000004,267.97
4.0,1.5,89.941,-34.977,96.507,-186.611,-653.14,679.266,59.194,42.752,73.02,-37.475999999999985,-645.365,646.452
4.0,4.0,109.099,-12.122,109.765,-3183.422,-3183.422,4501.359,39.283,39.283,55.555,-3035.04,-3156.261,4378.75
4.0,6.5,106.642,17.774,108.112,-1535.519,2303.279,2768.542,26.011,33.236,42.204,-1402.866,2354.2889999999998,2740.567
4.0,9.0,84.783,37.681,92.781,-128.411,513.644,529.439,17.571,27.332,32.492,-26.057,578.657,579.243
4.0,11.5,59.194,42.752,73.02,-31.649,205.717,208.122,12.2,22.367,25.478,39.745000000000005,270.836,273.737
4.0,14.0,39.283,39.283,55.555,-12.122,109.099,109.765,8.716,18.401,20.362,35.877,166.78300000000002,170.598
4.0,16.5,26.011,33.236,42.204,-5.852,67.295,67.547,6.397,15.281,16.567,26.555999999999997,115.81200000000001,118.818
4.0,19.0,17.571,27.332,32.492,-3.255,45.566,45.683,4.81,12.826,13.699,19.126,85.72399999999999,87.832
6.5,-21.0,4.504,-10.183,11.135,0.764,-13.248,13.27,13.529,-18.823,23.181,18.797,-42.254,46.246
6.5,-18.5,5.779,-11.81,13.148,1.034,-16.198,16.231,18.558,-21.785,28.617,25.371,-49.793000000000006,55.884
6.5,-16.0,7.541,-13.77,15.699,1.447,-20.252,20.304,25.68,-24.564,35.537,34.668,-58.586,68.075
6.5,-13.5,10.014,-16.109,18.967,2.111,-26.038,26.124,35.394,-26.161,44.012,47.519,-68.308,83.211
6.5,-11.0,13.529,-18.823,23.181,3.253,-34.699,34.851,47.426,-24.744,53.493,64.208,-78.26599999999999,101.234
6.5,-8.5,18.558,-21.785,28.617,5.387,-48.483,48.781,59.582,-18.134,62.282,83.527,-88.402,121.621
6.5,-6.0,25.68,-24.564,35.537,9.866,-72.349,73.02,67.295,-5.852,67.547,102.84100000000001,-102.76500000000001,145.385
6.5,-3.5,35.394,-26.161,44.012,20.997,-118.981,120.815,66.36,8.656,66.919,122.751,-136.486,183.565
6.5,-1.0,47.426,-24.744,53.493,57.058,-228.231,235.268,57.336,19.943,60.706,161.82,-233.03199999999998,283.707
6.5,1.5,59.582,-18.134,62.282,244.48,-570.453,620.653,44.899,25.377,51.575,348.961,-563.21,662.555
6.5,4.0,67.295,-5.852,67.547,2303.279,-1535.519,2768.542,33.236,26.011,42.204,2403.81,-1515.3600000000001,2841.587
6.5,6.5,66.36,8.656,66.919,1414.854,1414.854,2000.604,24.062,24.062,34.028,1505.2759999999998,1447.572,2088.377
6.5,9.0,57.336,19.943,60.706,173.157,461.752,493.151,17.402,21.186,27.417,247.89499999999998,502.881,560.661
6.5,11.5,44.899,25.377,51.575,45.474,197.053,202.237,12.723,18.254,22.25,103.09599999999999,240.684,261.835
6.5,14.0,33.236,26.011,42.204,17.774,106.642,108.112,9.448,15.61,18.247,60.458,148.26299999999998,160.116
6.5,16.5,24.062,24.062,34.028,8.656,66.36,66.919,7.141,13.35,15.139,39.859,103.77199999999999,111.164
6.5,19.0,17.402,21.186,27.417,4.836,45.14,45.398,5.491,11.46,12.707,27.729,77.786,82.581
9.0,-21.0,4.893,-9.087,10.321,1.978,-12.854,13.006,13.112,-14.986,19.912,19.983,-36.927,41.987
